Amlwch,Amlwch,Anglesey,Wales,UK,4,53.4,-4.3333,GB-AGY
Beaumaris,Beaumaris,Anglesey,Wales,UK,4,53.3,-4.1167,GB-AGY
Aberdeen,Aberdeen,Aberdeenshire,Scotland,UK,4,57.1333,-2.1,GB-ABD
Aberfeldy,Aberfeldy,Perth and Kinross,Scotland,UK,4,56.6167,-3.85,GB-PKN
Holyhead,Holyhead,Anglesey,Wales,UK,4,53.3,-4.6333,GB-AGY
Biggleswade,Biggleswade,Bedfordshire,England,UK,4,52.0833,-0.2667,GB-BDF
Dunstable,Dunstable,Bedfordshire,England,UK,4,51.8833,-0.5167,GB-BDF
Flitwick,Flitwick,Bedfordshire,England,UK,4,52,-0.4833,GB-BDF
Abingdon,Abingdon,Oxfordshire,England,UK,4,51.6667,-1.2833,GB-OXF
Accrington,Accrington,Lancashire,England,UK,4,53.7667,-2.35,GB-LAN
Adlington,Adlington,Lancashire,England,UK,4,53.6,-2.6,GB-LAN
Leighton Buzzard,Leighton Buzzard,Bedfordshire,England,UK,4,51.9167,-0.65,GB-BDF
Alcester,Alcester,Warwickshire,England,UK,4,52.2167,-1.8667,GB-WAR
Aldeburgh,Aldeburgh,Suffolk,England,UK,4,52.15,1.6,GB-SFK
Aldershot,Aldershot,Hampshire,England,UK,4,51.25,-0.7667,GB-HAM
Letchworth,Letchworth,Hertfordshire,England,UK,4,51.9667,-0.2167,GB-HRT
Alford,Alford,Somerset,England,UK,4,51.0883,-2.5642,GB-SOM
Alfreton,Alfreton,Derbyshire,England,UK,4,53.1,-1.3833,GB-DBY
Sandy,Sandy,Bedfordshire,England,UK,4,52.1167,-0.2833,GB-BDF
Alnwick,Alnwick,Northumberland,England,UK,4,55.4,-1.7,GB-NBL
Bracknell,Bracknell,Berkshire,England,UK,4,51.4167,-0.75,GB-WBK
Alston,Alston,Cumbria,England,UK,4,54.8,-2.4333,GB-CMA
Amesbury,Amesbury,Wiltshire,England,UK,4,51.1667,-1.7833,GB-WIL
Crowthorne,Crowthorne,Berkshire,England,UK,4,51.3667,-0.8167,GB-WBK
Hungerford,Hungerford,Berkshire,England,UK,4,51.4167,-1.5167,GB-WBK
Ampthill,Ampthill,Lancashire,England,UK,4,52.0333,-0.4833,GB-LAN
Andover,Andover,Hampshire,England,UK,4,51.2,-1.4833,GB-HAM
Anglesey,,Anglesey,Wales,UK,3,53.2667,-4.3333,GB-AGY
Annan,Annan,Dumfries and Galloway,Scotland,UK,4,54.9833,-3.2667,GB-DGY
Maidenhead,Maidenhead,Berkshire,England,UK,4,51.5167,-0.7,GB-WBK
Arbroath,Arbroath,Perth and Kinross,Scotland,UK,4,56.55,-2.5833,GB-PKN
Newbury,Newbury,Berkshire,England,UK,4,51.4,-1.3167,GB-WBK
Thatcham,Thatcham,Berkshire,England,UK,4,51.4,-1.2667,GB-WBK
Arundel,Arundel,West Sussex,England,UK,4,50.85,-0.55,GB-WSX
Ashbourne,Ashbourne,Derbyshire,England,UK,4,53.0167,-1.7333,GB-DBY
Ashburton,Ashburton,Devon,England,UK,4,50.5167,-3.75,GB-DEV
Ashby De La Zouch,Ashby De La Zouch,Derbyshire,England,UK,4,52.75,-1.4667,GB-DBY
Ashford,Ashford,Kent,England,UK,4,51.1333,0.8833,GB-KEN
Ashington,Ashington,Northumberland,England,UK,4,55.1639,-1.5864,GB-NBL
Ammanford,Ammanford,Carmarthenshire,Wales,UK,4,51.7919,-3.9892,GB-CMN
Atherstone,Atherstone,Warwickshire,England,UK,4,52.5667,-1.55,GB-WAR
Auchtermuchty,Auchtermuchty,Fife,Scotland,UK,4,56.2833,-3.2167,GB-FIF
Axminster,Axminster,Devon,England,UK,4,50.7833,-2.9833,GB-DEV
Aylesbury,Aylesbury,Buckinghamshire,England,UK,4,51.8167,-0.8,GB-BKM
Aylsham,Aylsham,Norfolk,England,UK,4,52.7833,1.25,GB-NFK
Burry Port,Burry Port,Carmarthenshire,Wales,UK,4,51.6883,-4.2444,GB-CMN
Bacup,Bacup,Lancashire,England,UK,4,53.7,-2.1833,GB-LAN
Bakewell,Bakewell,Derbyshire,England,UK,4,53.2,-1.6667,GB-DBY
Bala,Bala,Gwynedd,Wales,UK,4,52.9167,-3.6,GB-GWN
Balham,Balham,Greater London,England,UK,4,51.4434,-0.1468,GB-LDN
Ballater,Ballater,Aberdeenshire,Scotland,UK,4,57.05,-3.05,GB-ABD
Carmarthen,Carmarthen,Carmarthenshire,Wales,UK,4,51.8592,-4.3117,GB-CMN
Laugharne,Laugharne,Carmarthenshire,Wales,UK,4,51.7703,-4.4647,GB-CMN
Llandeilo,Llandeilo,Carmarthenshire,Wales,UK,4,51.8828,-3.9964,GB-CMN
Llandovery,Llandovery,Carmarthenshire,Wales,UK,4,51.9833,-3.7833,GB-CMN
Llanelli,Llanelli,Carmarthenshire,Wales,UK,4,51.6761,-4.1567,GB-CMN
Newcastle Emlyn,Newcastle Emlyn,Carmarthenshire,Wales,UK,4,52.0333,-4.4667,GB-CMN
Banbury,Banbury,Oxfordshire,England,UK,4,52.05,-1.3333,GB-OXF
Banchory,Banchory,Aberdeenshire,Scotland,UK,4,57.05,-2.5167,GB-ABD
Banff,Banff,Aberdeenshire,Scotland,UK,4,57.6667,-2.5333,GB-ABD
Bangor,Bangor,Gwynedd,Wales,UK,4,53.2667,-4.1167,GB-GWN
Barking,Barking,Greater London,England,UK,4,51.5333,0.0833,GB-BDG
Barmouth,Barmouth,Gwynedd,Wales,UK,4,52.75,-4.0667,GB-GWN
Castlereagh,,Castlereagh,Northern Ireland,UK,3,54.5667,-5.8667,GB-NIR
Barnet,Barnet,Greater London,England,UK,4,51.65,-0.2,GB-BNE
Barnoldswick,Barnoldswick,Lancashire,England,UK,4,53.9167,-2.1833,GB-LAN
Barnsley,Barnsley,South Yorkshire,England,UK,4,53.55,-1.4833,GB-BNS
Barnstaple,Barnstaple,Devon,England,UK,4,51.0833,-4.05,GB-DEV
Alloa,Alloa,Central Scotland,Scotland,UK,4,56.1167,-3.8,GB-SCT
Barrow In Furness,Barrow In Furness,Cumbria,England,UK,4,54.1167,-3.2333,GB-CMA
Bridge Of Allan,Bridge Of Allan,Central Scotland,Scotland,UK,4,56.15,-3.95,GB-SCT
Barton Upon Humber,Barton Upon Humber,North Yorkshire,England,UK,4,53.6667,-0.4333,GB-NYK
Basildon,Basildon,Essex,England,UK,4,51.5667,0.4667,GB-ESS
Basingstoke,Basingstoke,Hampshire,England,UK,4,51.2667,-1.0833,GB-HAM
Bath,Bath,Somerset,England,UK,4,51.3794,-2.3656,GB-SOM
Callander,Callander,Central Scotland,Scotland,UK,4,56.25,-4.2333,GB-SCT
Battle,Battle,East Sussex,England,UK,4,50.9167,0.5,GB-ESX
Bawtry,Bawtry,Northumberland,England,UK,4,53.4167,-1.0333,GB-NBL
Beaconsfield,Beaconsfield,Buckinghamshire,England,UK,4,51.6,-0.6333,GB-BKM
Cumbernauld,Cumbernauld,Central Scotland,Scotland,UK,4,55.95,-3.9833,GB-SCT
Dunblane,Dunblane,Central Scotland,Scotland,UK,4,56.2,-3.9667,GB-SCT
Grangemouth,Grangemouth,Central Scotland,Scotland,UK,4,56.0167,-3.7333,GB-SCT
Beccles,Beccles,Suffolk,England,UK,4,52.4667,1.5667,GB-SFK
Beckenham,Beckenham,Greater London,England,UK,4,51.4086,-0.042,GB-LDN
Beckton,Beckton,Greater London,England,UK,4,51.5167,0.0667,GB-LDN
Bedale,Bedale,North Yorkshire,England,UK,4,54.2833,-1.5833,GB-NYK
Bedford,Bedford,Bedfordshire,England,UK,4,52.1333,-0.45,GB-BDF
Bedfordshire,,Bedfordshire,England,UK,3,51.9167,-0.65,GB-BDF
Bedlington,Bedlington,Northumberland,England,UK,4,55.1325,-1.5856,GB-NBL
Bedworth,Bedworth,Warwickshire,England,UK,4,52.4667,-1.4667,GB-WAR
Beeston,Beeston,Nottinghamshire,England,UK,4,52.9167,-1.2167,GB-NTT
Belfast,Belfast,County Antrim,Northern Ireland,UK,4,54.5833,-5.9333,GB-BFS
Tillicoultry,Tillicoultry,Central Scotland,Scotland,UK,4,56.15,-3.75,GB-SCT
Belper,Belper,Derbyshire,England,UK,4,53.0333,-1.4667,GB-DBY
Belvedere,Belvedere,Greater London,England,UK,4,51.4833,0.15,GB-LDN
Berkhamsted,Berkhamsted,Buckinghamshire,England,UK,4,51.76,-0.56,GB-BKM
Berkshire,,Berkshire,England,UK,3,51.4,-1.3167,GB-WBK
Bethnal Green,Bethnal Green,Greater London,England,UK,4,51.5167,-0.05,GB-TWH
Beverley,Beverley,East Riding of Yorkshire,England,UK,4,53.8333,-0.4167,GB-ERY
Bewdley,Bewdley,Worcestershire,England,UK,4,52.3833,-2.3167,GB-WOR
Bexley,Bexley,Greater London,England,UK,4,51.4333,0.15,GB-BEX
Bexleyheath,Bexleyheath,Greater London,England,UK,4,51.45,0.15,GB-BEX
Bicester,Bicester,Oxfordshire,England,UK,4,51.9,-1.15,GB-OXF
Bickley,Bickley,Greater London,England,UK,4,51.3833,0.0333,GB-LDN
Aberaeron,Aberaeron,Ceredigion,Wales,UK,4,52.25,-4.25,GB-CGN
Bideford,Bideford,Devon,England,UK,4,51.0167,-4.2167,GB-DEV
Aberystwyth,Aberystwyth,Ceredigion,Wales,UK,4,52.4167,-4.0667,GB-CGN
Cardigan,Cardigan,Ceredigion,Wales,UK,4,52.0833,-4.6667,GB-CGN
